"No","Periode","Data Inflasi"
"1","Januari 2025","0.76 %"
"2","Desember 2024","1.57 %"
"3","November 2024","1.55 %"
"4","Oktober 2024","1.71 %"
"5","September 2024","1.84 %"
"6","Agustus 2024","2.12 %"
"7","Juli 2024","2.13 %"
"8","Juni 2024","2.51 %"
"9","Mei 2024","2.84 %"
"10","April 2024","3 %"
"11","Maret 2024","3.05 %"
"12","Februari 2024","2.75 %"
"13","Januari 2024","2.57 %"
"14","Desember 2023","2.61 %"
"15","November 2023","2.86 %"
"16","Oktober 2023","2.56 %"
"17","September 2023","2.28 %"
"18","Agustus 2023","3.27 %"
"19","Juli 2023","3.08 %"
"20","Juni 2023","3.52 %"
"21","Mei 2023","4 %"
"22","April 2023","4.33 %"
"23","Maret 2023","4.97 %"
"24","Februari 2023","5.47 %"
"25","Januari 2023","5.28 %"
"26","Desember 2022","5.51 %"
"27","November 2022","5.42 %"
"28","Oktober 2022","5.71 %"
"29","September 2022","5.95 %"
"30","Agustus 2022","4.69 %"
"31","Juli 2022","4.94 %"
"32","Juni 2022","4.35 %"
"33","Mei 2022","3.55 %"
"34","April 2022","3.47 %"
"35","Maret 2022","2.64 %"
"36","Februari 2022","2.06 %"
"37","Januari 2022","2.18 %"
"38","Desember 2021","1.87 %"
"39","November 2021","1.75 %"
"40","Oktober 2021","1.66 %"
"41","September 2021","1.6 %"
"42","Agustus 2021","1.59 %"
"43","Juli 2021","1.52 %"
"44","Juni 2021","1.33 %"
"45","Mei 2021","1.68 %"
"46","April 2021","1.42 %"
"47","Maret 2021","1.37 %"
"48","Februari 2021","1.38 %"
"49","Januari 2021","1.55 %"
"50","Desember 2020","1.68 %"
"51","November 2020","1.59 %"
"52","Oktober 2020","1.44 %"
"53","September 2020","1.42 %"
"54","Agustus 2020","1.32 %"
"55","Juli 2020","1.54 %"
"56","Juni 2020","1.96 %"
"57","Mei 2020","2.19 %"
"58","April 2020","2.67 %"
"59","Maret 2020","2.96 %"
"60","Februari 2020","2.98 %"
"61","Januari 2020","2.68 %"
"62","Desember 2019","2.72 %"
"63","November 2019","3 %"
"64","Oktober 2019","3.13 %"
"65","September 2019","3.39 %"
"66","Agustus 2019","3.49 %"
"67","Juli 2019","3.32 %"
"68","Juni 2019","3.28 %"
"69","Mei 2019","3.32 %"
"70","April 2019","2.83 %"
"71","Maret 2019","2.48 %"
"72","Februari 2019","2.57 %"
"73","Januari 2019","2.82 %"
"74","Desember 2018","3.13 %"
"75","November 2018","3.23 %"
"76","Oktober 2018","3.16 %"
"77","September 2018","2.88 %"
"78","Agustus 2018","3.2 %"
"79","Juli 2018","3.18 %"
"80","Juni 2018","3.12 %"
"81","Mei 2018","3.23 %"
"82","April 2018","3.41 %"
"83","Maret 2018","3.4 %"
"84","Februari 2018","3.18 %"
"85","Januari 2018","3.25 %"
"86","Desember 2017","3.61 %"
"87","November 2017","3.3 %"
"88","Oktober 2017","3.58 %"
"89","September 2017","3.72 %"
"90","Agustus 2017","3.82 %"
"91","Juli 2017","3.88 %"
"92","Juni 2017","4.37 %"
"93","Mei 2017","4.33 %"
"94","April 2017","4.17 %"
"95","Maret 2017","3.61 %"
"96","Februari 2017","3.83 %"
"97","Januari 2017","3.49 %"
"98","Desember 2016","3.02 %"
"99","November 2016","3.58 %"
"100","Oktober 2016","3.31 %"
"101","September 2016","3.07 %"
"102","Agustus 2016","2.79 %"
"103","Juli 2016","3.21 %"
"104","Juni 2016","3.45 %"
"105","Mei 2016","3.33 %"
"106","April 2016","3.6 %"
"107","Maret 2016","4.45 %"
"108","Februari 2016","4.42 %"
"109","Januari 2016","4.14 %"
"110","Desember 2015","3.35 %"
"111","November 2015","4.89 %"
"112","Oktober 2015","6.25 %"
"113","September 2015","6.83 %"
"114","Agustus 2015","7.18 %"
"115","Juli 2015","7.26 %"
"116","Juni 2015","7.26 %"
"117","Mei 2015","7.15 %"
"118","April 2015","6.79 %"
"119","Maret 2015","6.38 %"
"120","Februari 2015","6.29 %"
"121","Januari 2015","6.96 %"
"122","Desember 2014","8.36 %"
"123","November 2014","6.23 %"
"124","Oktober 2014","4.83 %"
"125","September 2014","4.53 %"
"126","Agustus 2014","3.99 %"
"127","Juli 2014","4.53 %"
"128","Juni 2014","6.7 %"
"129","Mei 2014","7.32 %"
"130","April 2014","7.25 %"
"131","Maret 2014","7.32 %"
"132","Februari 2014","7.75 %"
"133","Januari 2014","8.22 %"
"134","Desember 2013","8.38 %"
"135","November 2013","8.37 %"
"136","Oktober 2013","8.32 %"
"137","September 2013","8.4 %"
"138","Agustus 2013","8.79 %"
"139","Juli 2013","8.61 %"
"140","Juni 2013","5.9 %"
"141","Mei 2013","5.47 %"
"142","April 2013","5.57 %"
"143","Maret 2013","5.9 %"
"144","Februari 2013","5.31 %"
"145","Januari 2013","4.57 %"
"146","Desember 2012","4.3 %"
"147","November 2012","4.32 %"
"148","Oktober 2012","4.61 %"
"149","September 2012","4.31 %"
"150","Agustus 2012","4.58 %"
"151","Juli 2012","4.56 %"
"152","Juni 2012","4.53 %"
"153","Mei 2012","4.45 %"
"154","April 2012","4.5 %"
"155","Maret 2012","3.97 %"
"156","Februari 2012","3.56 %"
"157","Januari 2012","3.65 %"
"158","Desember 2011","3.79 %"
"159","November 2011","4.15 %"
"160","Oktober 2011","4.42 %"
"161","September 2011","4.61 %"
"162","Agustus 2011","4.79 %"
"163","Juli 2011","4.61 %"
"164","Juni 2011","5.54 %"
"165","Mei 2011","5.98 %"
"166","April 2011","6.16 %"
"167","Maret 2011","6.65 %"
"168","Februari 2011","6.84 %"
"169","Januari 2011","7.02 %"
"170","Desember 2010","6.96 %"
"171","November 2010","6.33 %"
"172","Oktober 2010","5.67 %"
"173","September 2010","5.8 %"
"174","Agustus 2010","6.44 %"
"175","Juli 2010","6.22 %"
"176","Juni 2010","5.05 %"
"177","Mei 2010","4.16 %"
"178","April 2010","3.91 %"
"179","Maret 2010","3.43 %"
"180","Februari 2010","3.81 %"
"181","Januari 2010","3.72 %"
"182","Desember 2009","2.78 %"
"183","November 2009","2.41 %"
"184","Oktober 2009","2.57 %"
"185","September 2009","2.83 %"
"186","Agustus 2009","2.75 %"
"187","Juli 2009","2.71 %"
"188","Juni 2009","3.65 %"
"189","Mei 2009","6.04 %"
"190","April 2009","7.31 %"
"191","Maret 2009","7.92 %"
"192","Februari 2009","8.6 %"
"193","Januari 2009","9.17 %"
"194","Desember 2008","11.06 %"
"195","November 2008","11.68 %"
"196","Oktober 2008","11.77 %"
"197","September 2008","12.14 %"
"198","Agustus 2008","11.85 %"
"199","Juli 2008","11.9 %"
"200","Juni 2008","11.03 %"
"201","Mei 2008","10.38 %"
"202","April 2008","8.96 %"
"203","Maret 2008","8.17 %"
"204","Februari 2008","7.4 %"
"205","Januari 2008","7.36 %"
"206","Desember 2007","6.59 %"
"207","November 2007","6.71 %"
"208","Oktober 2007","6.88 %"
"209","September 2007","6.95 %"
"210","Agustus 2007","6.51 %"
"211","Juli 2007","6.06 %"
"212","Juni 2007","5.77 %"
"213","Mei 2007","6.01 %"
"214","April 2007","6.29 %"
"215","Maret 2007","6.52 %"
"216","Februari 2007","6.3 %"
"217","Januari 2007","6.26 %"
"218","Desember 2006","6.6 %"
"219","November 2006","5.27 %"
"220","Oktober 2006","6.29 %"
"221","September 2006","14.55 %"
"222","Agustus 2006","14.9 %"
"223","Juli 2006","15.15 %"
"224","Juni 2006","15.53 %"
"225","Mei 2006","15.6 %"
"226","April 2006","15.4 %"
"227","Maret 2006","15.74 %"
"228","Februari 2006","17.92 %"
"229","Januari 2006","17.03 %"
"230","Desember 2005","17.11 %"
"231","November 2005","18.38 %"
"232","Oktober 2005","17.89 %"
"233","September 2005","9.06 %"
"234","Agustus 2005","8.33 %"
"235","Juli 2005","7.84 %"
"236","Juni 2005","7.42 %"
"237","Mei 2005","7.4 %"
"238","April 2005","8.12 %"
"239","Maret 2005","8.81 %"
"240","Februari 2005","7.15 %"
"241","Januari 2005","7.32 %"
"242","Desember 2004","6.4 %"
"243","November 2004","6.18 %"
"244","Oktober 2004","6.22 %"
"245","September 2004","6.27 %"
"246","Agustus 2004","6.67 %"
"247","Juli 2004","7.2 %"
"248","Juni 2004","6.83 %"
"249","Mei 2004","6.47 %"
"250","April 2004","5.92 %"
"251","Maret 2004","5.11 %"
"252","Februari 2004","4.6 %"
"253","Januari 2004","4.82 %"
"254","Desember 2003","5.16 %"
"255","November 2003","5.53 %"
"256","Oktober 2003","6.48 %"
"257","September 2003","6.33 %"
"258","Agustus 2003","6.51 %"
"259","Juli 2003","6.27 %"
"260","Juni 2003","6.98 %"
"261","Mei 2003","7.15 %"
"262","April 2003","7.62 %"
"263","Maret 2003","7.17 %"
"264","Februari 2003","7.6 %"
"265","Januari 2003","8.68 %"
"266","Desember 2002","0 %"
